anzahl;vorname;geschlecht;position
29;Sophie;w;2
27;Marie;w;2
27;Ben;m;1
23;Mila;w;1
23;Paul;m;1
21;Felix;m;1
20;Alexander;m;2
20;Emilia;w;1
20;Mia;w;1
20;Maximilian;m;1
17;Emma;w;1
17;Elias;m;1
17;Lina;w;1
17;Jonas;m;1
17;Leon;m;1
15;Emily;w;1
15;Hannah;w;1
14;Tom;m;1
13;Maria;w;2
13;Lena;w;1
13;Noah;m;1
12;Amelie;w;1
12;Leonie;w;1
11;Henry;m;1
11;Luca;m;1
11;Hanna;w;1
11;Lea;w;1
11;Marie;w;1
11;Sophia;w;1
10;Finn;m;1
10;Luke;m;1
10;Mats;m;1
10;Milan;m;1
10;Anna;w;1
10;Yusuf;m;1
9;Sofie;w;2
9;Johanna;w;1
9;Luis;m;1
9;Leni;w;1
9;Matteo;m;1
9;Lia;w;1
9;Vincent;m;1
9;Sophie;w;1
8;Emil;m;1
8;Nele;w;1
8;Julian;m;1
8;Leonard;m;1
8;Liam;m;1
8;Louis;m;1
8;Lukas;m;1
8;Moritz;m;1
7;Louis;m;2
7;Paul;m;2
7;Alina;w;1
7;Amina;w;1
7;Clara;w;1
7;Ella;w;1
7;Laura;w;1
7;Nora;w;1
7;Alexander;m;1
7;Anton;m;1
7;Fynn;m;1
7;Jan;m;1
7;Johann;m;1
7;Leo;m;1
7;Max;m;1
7;Ole;m;1
7;Till;m;1
6;Maximilian;m;2
6;Charlotte;w;2
6;Charlotte;w;1
6;Elina;w;1
6;Isabella;w;1
6;Klara;w;1
6;Lara;w;1
6;Lotta;w;1
6;Marlene;w;1
6;Maya;w;1
6;Sara;w;1
6;Adam;m;1
6;Alessio;m;1
6;Erik;m;1
6;Henri;m;1
6;Ilyas;m;1
6;Theo;m;1
5;Noel;m;2
5;Elisabeth;w;2
5;Isabella;w;2
5;Rose;w;2
5;Sophia;w;2
5;Amalia;w;1
5;Azra;w;1
5;Elisa;w;1
5;Fiona;w;1
5;Isabell;w;1
5;Josefine;w;1
5;Ali;m;1
5;Lilli;w;1
5;Can;m;1
5;Lucy;w;1
5;David;m;1
5;Luisa;w;1
5;Elyas;m;1
5;Luise;w;1
5;Hamza;m;1
5;Mina;w;1
5;Jonathan;m;1
5;Paula;w;1
5;Joshua;m;1
5;Paulina;w;1
5;Lennard;m;1
5;Pia;w;1
5;Lian;m;1
5;Mateo;m;1
5;Matthias;m;1
5;Maxim;m;1
5;Philip;m;1
5;Robin;m;1
4;Gabriel;m;2
4;Joel;m;2
4;Johannes;m;2
4;Luca;m;2
4;Noah;m;2
4;Johanna;w;2
4;Wilhelm;m;2
4;Louisa;w;2
4;Anni;w;1
4;Antonia;w;1
4;Eva;w;1
4;Finja;w;1
4;Greta;w;1
4;Ida;w;1
4;Aaron;m;1
4;Joleen;w;1
